course_rating,slope,bogey_rating,par,handicap,total_yards,expected_score_diff
73.2,126,96.5,72,0.0,7002,1.2000000000000000
73.2,126,96.5,72,5.0,7002,6.775221238938060
73.2,126,96.5,72,14.0,7002,16.81061946902660
73.2,126,96.5,72,24.0,7002,27.96106194690270
71.9,123,94.7,72,0.0,6718,-0.09999999999999430
71.9,123,94.7,72,5.0,6718,5.3424778761062000
71.9,123,94.7,72,14.0,6718,15.138938053097300
71.9,123,94.7,72,24.0,6718,26.02389380530970
70.3,119,92.3,72,0.0,6382,-1.7000000000000000
70.3,119,92.3,72,5.0,6382,3.5654867256637200
70.3,119,92.3,72,14.0,6382,13.043362831858400
70.3,119,92.3,72,24.0,6382,23.574336283185800
68.3,114,89.5,72,0.0,5956,-3.700000000000000
68.3,114,89.5,72,5.0,5956,1.3442477876106100
68.3,114,89.5,72,14.0,5956,10.423893805309700
68.3,114,89.5,72,24.0,5956,20.512389380531000
65.1,106,84.8,72,0.0,5276,-6.900000000000010
65.1,106,84.8,72,5.0,5276,-2.2097345132743400
65.1,106,84.8,72,14.0,5276,6.2327433628318500
65.1,106,84.8,72,24.0,5276,15.613274336283200
78.6,135,110.5,74,0.0,6718,4.599999999999990
78.6,135,110.5,74,5.0,6718,10.573451327433600
78.6,135,110.5,74,14.0,6718,21.325663716814100
78.6,135,110.5,74,24.0,6718,33.27256637168140
76.7,132,107.7,74,0.0,6382,2.700000000000000
76.7,132,107.7,74,5.0,6382,8.54070796460178
76.7,132,107.7,74,14.0,6382,19.053982300885000
76.7,132,107.7,74,24.0,6382,30.735398230088500
74.1,128,104.2,73,0.0,5956,1.0999999999999900
74.1,128,104.2,73,5.0,5956,6.763716814159280
74.1,128,104.2,73,14.0,5956,16.95840707964600
74.1,128,104.2,73,24.0,5956,28.285840707964600
70.1,121,98.6,72,0.0,5276,-1.9000000000000100
70.1,121,98.6,72,5.0,5276,3.4539823008849500
70.1,121,98.6,72,14.0,5276,13.091150442477900
70.1,121,98.6,72,24.0,5276,23.799115044247800
70.8,131,95.2,72,0.0,6650,-1.2000000000000000
70.8,131,95.2,72,5.0,6650,4.596460176991140
70.8,131,95.2,72,14.0,6650,15.030088495575200
70.8,131,95.2,72,24.0,6650,26.62300884955750
66.9,122,89.5,72,0.0,5850,-5.099999999999990
66.9,122,89.5,72,5.0,5850,0.2982300884955860
66.9,122,89.5,72,14.0,5850,10.015044247787600
66.9,122,89.5,72,24.0,5850,20.81150442477880
73.3,128,103.5,72,0.0,5850,1.3000000000000000
73.3,128,103.5,72,5.0,5850,6.963716814159280
73.3,128,103.5,72,14.0,5850,17.15840707964600
73.3,128,103.5,72,24.0,5850,28.4858407079646
69.9,129,93.7,69,0.0,6053,0.9000000000000060
69.9,129,93.7,69,5.0,6053,6.607964601769920
69.9,129,93.7,69,14.0,6053,16.882300884955800
69.9,129,93.7,69,24.0,6053,28.298230088495600
67.7,124,90.6,68,0.0,5596,-0.29999999999999700
67.7,124,90.6,68,5.0,5596,5.186725663716810
67.7,124,90.6,68,14.0,5596,15.06283185840710
67.7,124,90.6,68,24.0,5596,26.036283185840700
63.7,111,84.3,66,0.0,4689,-2.300000000000000
63.7,111,84.3,66,5.0,4689,2.611504424778760
63.7,111,84.3,66,14.0,4689,11.452212389380500
63.7,111,84.3,66,24.0,4689,21.27522123893810
73.1,135,105.0,71,0.0,5596,2.0999999999999900
73.1,135,105.0,71,5.0,5596,8.073451327433620
73.1,135,105.0,71,14.0,5596,18.825663716814100
73.1,135,105.0,71,24.0,5596,30.77256637168140
68.0,120,96.4,69,0.0,4689,-1.0
68.0,120,96.4,69,5.0,4689,4.309734513274340
68.0,120,96.4,69,14.0,4689,13.86725663716810
68.0,120,96.4,69,24.0,4689,24.48672566371680
72.3,129,96.2,70,0.0,6602,2.300000000000000
72.3,129,96.2,70,5.0,6602,8.007964601769910
72.3,129,96.2,70,14.0,6602,18.282300884955700
72.3,129,96.2,70,24.0,6602,29.698230088495600
71.3,127,94.8,70,0.0,6387,1.3000000000000000
71.3,127,94.8,70,5.0,6387,6.9194690265486700
71.3,127,94.8,70,14.0,6387,17.034513274336300
71.3,127,94.8,70,24.0,6387,28.273451327433600
70.4,125,93.5,70,0.0,6191,0.4000000000000060
70.4,125,93.5,70,5.0,6191,5.930973451327450
70.4,125,93.5,70,14.0,6191,15.886725663716800
70.4,125,93.5,70,24.0,6191,26.948672566371700
68.7,121,91.2,70,0.0,5848,-1.3000000000000000
68.7,121,91.2,70,5.0,5848,4.053982300884950
68.7,121,91.2,70,14.0,5848,13.691150442477900
68.7,121,91.2,70,24.0,5848,24.399115044247800
67.7,119,89.7,70,0.0,5657,-2.300000000000000
67.7,119,89.7,70,5.0,5657,2.965486725663720
67.7,119,89.7,70,14.0,5657,12.443362831858400
67.7,119,89.7,70,24.0,5657,22.97433628318590
66.4,115,87.7,72,0.0,5419,-5.599999999999990
66.4,115,87.7,72,5.0,5419,-0.5115044247787500
66.4,115,87.7,72,14.0,5419,8.647787610619470
66.4,115,87.7,72,24.0,5419,18.82477876106200
65.7,113,86.7,70,0.0,5309,-4.300000000000000
65.7,113,86.7,70,5.0,5309,0.7000000000000030
65.7,113,86.7,70,14.0,5309,9.700000000000000
65.7,113,86.7,70,24.0,5309,19.700000000000000
64.9,110,85.3,70,0.0,5041,-5.099999999999990
64.9,110,85.3,70,5.0,5041,-0.23274336283185400
64.9,110,85.3,70,14.0,5041,8.528318584070800
64.9,110,85.3,70,24.0,5041,18.262831858407100
62.0,102,81.0,72,0.0,4354,-10.0
62.0,102,81.0,72,5.0,4354,-5.486725663716810
62.0,102,81.0,72,14.0,4354,2.637168141592920
62.0,102,81.0,72,24.0,4354,11.663716814159300
59.3,96,77.1,72,0.0,3765,-12.700000000000000
59.3,96,77.1,72,5.0,3765,-8.452212389380530
59.3,96,77.1,72,14.0,3765,-0.8061946902654850
59.3,96,77.1,72,24.0,3765,7.689380530973450
78.9,142,112.4,72,0.0,6602,6.900000000000010
78.9,142,112.4,72,5.0,6602,13.183185840708000
78.9,142,112.4,72,14.0,6602,24.4929203539823
78.9,142,112.4,72,24.0,6602,37.059292035398200
76.5,136,108.4,72,0.0,6191,4.5
76.5,136,108.4,72,5.0,6191,10.517699115044300
76.5,136,108.4,72,14.0,6191,21.349557522123900
76.5,136,108.4,72,24.0,6191,33.38495575221240
75.1,134,106.6,72,0.0,5922,3.0999999999999900
75.1,134,106.6,72,5.0,5922,9.029203539823000
75.1,134,106.6,72,14.0,5922,19.701769911504400
75.1,134,106.6,72,24.0,5922,31.560176991150400
74.1,132,105.1,72,0.0,5731,2.0999999999999900
74.1,132,105.1,72,5.0,5731,7.940707964601770
74.1,132,105.1,72,14.0,5731,18.453982300884900
74.1,132,105.1,72,24.0,5731,30.135398230088500
72.3,128,102.5,72,0.0,5419,0.29999999999999700
72.3,128,102.5,72,5.0,5419,5.963716814159280
72.3,128,102.5,72,14.0,5419,16.15840707964600
72.3,128,102.5,72,24.0,5419,27.4858407079646
71.5,127,101.4,70,0.0,5309,1.5
71.5,127,101.4,70,5.0,5309,7.119469026548670
71.5,127,101.4,70,14.0,5309,17.23451327433630
71.5,127,101.4,70,24.0,5309,28.473451327433600
70.2,124,99.4,70,0.0,5041,0.20000000000000300
70.2,124,99.4,70,5.0,5041,5.686725663716810
70.2,124,99.4,70,14.0,5041,15.56283185840710
70.2,124,99.4,70,24.0,5041,26.536283185840700
66.3,113,92.9,72,0.0,4354,-5.700000000000000
66.3,113,92.9,72,5.0,4354,-0.7000000000000030
66.3,113,92.9,72,14.0,4354,8.300000000000000
66.3,113,92.9,72,24.0,4354,18.300000000000000
62.7,105,87.5,72,0.0,3765,-9.300000000000000
62.7,105,87.5,72,5.0,3765,-4.653982300884950
62.7,105,87.5,72,14.0,3765,3.7088495575221300
62.7,105,87.5,72,24.0,3765,13.000884955752200
54.8,86,70.8,60,0.0,3004,-5.200000000000000
54.8,86,70.8,60,5.0,3004,-1.3946902654867300
54.8,86,70.8,60,14.0,3004,5.454867256637160
54.8,86,70.8,60,24.0,3004,13.065486725663700
57.1,91,78.4,60,0.0,3004,-2.9000000000000000
57.1,91,78.4,60,5.0,3004,1.126548672566370
57.1,91,78.4,60,14.0,3004,8.37433628318584
57.1,91,78.4,60,24.0,3004,16.427433628318600
66.2,116,87.7,71,0.0,5447,-4.800000000000000
66.2,116,87.7,71,5.0,5447,0.332743362831863
66.2,116,87.7,71,14.0,5447,9.571681415929210
66.2,116,87.7,71,24.0,5447,19.837168141592900
65.1,114,86.2,71,0.0,5262,-5.900000000000010
65.1,114,86.2,71,5.0,5262,-0.8557522123893900
65.1,114,86.2,71,14.0,5262,8.223893805309730
65.1,114,86.2,71,24.0,5262,18.31238938053100
63.3,110,83.6,71,0.0,4902,-7.700000000000000
63.3,110,83.6,71,5.0,4902,-2.832743362831860
63.3,110,83.6,71,14.0,4902,5.928318584070790
63.3,110,83.6,71,24.0,4902,15.662831858407100
61.9,104,81.2,71,0.0,4578,-9.100000000000000
61.9,104,81.2,71,5.0,4578,-4.498230088495580
61.9,104,81.2,71,14.0,4578,3.784955752212380
61.9,104,81.2,71,24.0,4578,12.988495575221200
57.9,92,75.0,71,0.0,3610,-13.100000000000000
57.9,92,75.0,71,5.0,3610,-9.029203539823010
57.9,92,75.0,71,14.0,3610,-1.701769911504430
57.9,92,75.0,71,24.0,3610,6.439823008849560
70.7,122,99.5,71,0.0,5447,-0.29999999999999700
70.7,122,99.5,71,5.0,5447,5.098230088495580
70.7,122,99.5,71,14.0,5447,14.815044247787600
70.7,122,99.5,71,24.0,5447,25.611504424778800
69.7,120,97.9,71,0.0,5262,-1.3000000000000000
69.7,120,97.9,71,5.0,5262,4.0097345132743400
69.7,120,97.9,71,14.0,5262,13.567256637168100
69.7,120,97.9,71,24.0,5262,24.186725663716800
67.8,115,94.9,71,0.0,4902,-3.200000000000000
67.8,115,94.9,71,5.0,4902,1.888495575221240
67.8,115,94.9,71,14.0,4902,11.047787610619500
67.8,115,94.9,71,24.0,4902,21.22477876106190
65.8,111,91.9,71,0.0,4578,-5.200000000000000
65.8,111,91.9,71,5.0,4578,-0.2884955752212480
65.8,111,91.9,71,14.0,4578,8.552212389380530
65.8,111,91.9,71,24.0,4578,18.375221238938100
60.6,97,83.5,71,0.0,3610,-10.400000000000000
60.6,97,83.5,71,5.0,3610,-6.107964601769910
60.6,97,83.5,71,14.0,3610,1.6176991150442500
60.6,97,83.5,71,24.0,3610,10.201769911504400
73.8,131,98.2,70,0.0,6803,3.800000000000000
73.8,131,98.2,70,5.0,6803,9.596460176991140
73.8,131,98.2,70,14.0,6803,20.030088495575200
73.8,131,98.2,70,24.0,6803,31.62300884955750
72.7,129,96.7,70,0.0,6602,2.700000000000000
72.7,129,96.7,70,5.0,6602,8.407964601769920
72.7,129,96.7,70,14.0,6602,18.68230088495580
72.7,129,96.7,70,24.0,6602,30.09823008849560
70.8,124,93.7,70,0.0,6257,0.7999999999999970
70.8,124,93.7,70,5.0,6257,6.286725663716810
70.8,124,93.7,70,14.0,6257,16.162831858407100
70.8,124,93.7,70,24.0,6257,27.13628318584070
65.2,115,86.5,70,0.0,6257,-4.800000000000000
65.2,115,86.5,70,5.0,6257,0.2884955752212480
65.2,115,86.5,70,14.0,6257,9.447787610619470
65.2,115,86.5,70,24.0,6257,19.624778761061900
68.0,122,90.6,70,0.0,5730,-2.0
68.0,122,90.6,70,5.0,5730,3.3982300884955800
68.0,122,90.6,70,14.0,5730,13.115044247787600
68.0,122,90.6,70,24.0,5730,23.911504424778800
60.1,103,79.2,66,0.0,3958,-5.900000000000000
60.1,103,79.2,66,5.0,3958,-1.3424778761061900
60.1,103,79.2,66,14.0,3958,6.861061946902650
60.1,103,79.2,66,24.0,3958,15.97610619469030
77.5,137,109.8,73,0.0,6273,4.5
77.5,137,109.8,73,5.0,6273,10.561946902654900
77.5,137,109.8,73,14.0,6273,21.473451327433600
77.5,137,109.8,73,24.0,6273,33.59734513274340
72.3,125,101.6,70,0.0,5422,2.300000000000000
72.3,125,101.6,70,5.0,5422,7.830973451327420
72.3,125,101.6,70,14.0,5422,17.78672566371680
72.3,125,101.6,70,24.0,5422,28.848672566371700
74.0,129,104.3,70,0.0,5422,4.0
74.0,129,104.3,70,5.0,5422,9.707964601769920
74.0,129,104.3,70,14.0,5422,19.982300884955700
74.0,129,104.3,70,24.0,5422,31.39823008849560
70.5,121,98.9,70,0.0,5083,0.5
70.5,121,98.9,70,5.0,5083,5.853982300884950
70.5,121,98.9,70,14.0,5083,15.491150442477900
70.5,121,98.9,70,24.0,5083,26.19911504424780
63.1,105,87.7,66,0.0,3958,-2.9000000000000000
63.1,105,87.7,66,5.0,3958,1.7460176991150400
63.1,105,87.7,66,14.0,3958,10.10884955752210
63.1,105,87.7,66,24.0,3958,19.40088495575220
70.9,125,94.0,71,0.0,6354,-0.09999999999999430
70.9,125,94.0,71,5.0,6354,5.430973451327450
70.9,125,94.0,71,14.0,6354,15.386725663716800
70.9,125,94.0,71,24.0,6354,26.448672566371700
70.0,123,92.7,71,0.0,6177,-1.0
70.0,123,92.7,71,5.0,6177,4.442477876106200
70.0,123,92.7,71,14.0,6177,14.238938053097300
70.0,123,92.7,71,24.0,6177,25.123893805309700
69.3,121,91.7,71,0.0,6024,-1.7000000000000000
69.3,121,91.7,71,5.0,6024,3.653982300884950
69.3,121,91.7,71,14.0,6024,13.291150442477900
69.3,121,91.7,71,24.0,6024,23.999115044247800
67.4,117,89.1,71,0.0,5659,-3.5999999999999900
67.4,117,89.1,71,5.0,5659,1.5769911504424800
67.4,117,89.1,71,14.0,5659,10.895575221238900
67.4,117,89.1,71,24.0,5659,21.249557522123900
65.6,112,86.4,71,0.0,5297,-5.400000000000010
65.6,112,86.4,71,5.0,5297,-0.444247787610621
65.6,112,86.4,71,14.0,5297,8.47610619469026
65.6,112,86.4,71,24.0,5297,18.38761061946900
64.6,109,84.9,71,0.0,5066,-6.400000000000010
64.6,109,84.9,71,5.0,5066,-1.5769911504424800
64.6,109,84.9,71,14.0,5066,7.104424778761060
64.6,109,84.9,71,24.0,5066,16.750442477876100
76.8,136,108.8,71,0.0,6354,5.800000000000000
76.8,136,108.8,71,5.0,6354,11.817699115044200
76.8,136,108.8,71,14.0,6354,22.6495575221239
76.8,136,108.8,71,24.0,6354,34.68495575221240
75.8,134,107.4,71,0.0,6177,4.800000000000000
75.8,134,107.4,71,5.0,6177,10.729203539823000
75.8,134,107.4,71,14.0,6177,21.40176991150440
75.8,134,107.4,71,24.0,6177,33.260176991150400
74.9,132,106.0,71,0.0,6024,3.9000000000000100
74.9,132,106.0,71,5.0,6024,9.740707964601780
74.9,132,106.0,71,14.0,6024,20.253982300885000
74.9,132,106.0,71,24.0,6024,31.93539823008850
72.8,128,102.9,71,0.0,5659,1.8000000000000000
