course_rating,slope,bogey_rating,par,handicap,total_yards,expected_score_diff
73.2,126,96.5,72,0.0,7002,1.2000000000000000
73.2,126,96.5,72,7.0,7002,9.005309734513280
73.2,126,96.5,72,18.0,7002,21.270796460177000
73.2,126,96.5,72,32.0,7002,36.88141592920350
71.9,123,94.7,72,0.0,6718,-0.09999999999999430
71.9,123,94.7,72,7.0,6718,7.519469026548680
71.9,123,94.7,72,18.0,6718,19.4929203539823
71.9,123,94.7,72,32.0,6718,34.73185840707960
70.3,119,92.3,72,0.0,6382,-1.7000000000000000
70.3,119,92.3,72,7.0,6382,5.6716814159292
70.3,119,92.3,72,18.0,6382,17.255752212389400
70.3,119,92.3,72,32.0,6382,31.999115044247800
68.3,114,89.5,72,0.0,5956,-3.700000000000000
68.3,114,89.5,72,7.0,5956,3.3619469026548600
68.3,114,89.5,72,18.0,5956,14.45929203539820
68.3,114,89.5,72,32.0,5956,28.583185840708000
65.1,106,84.8,72,0.0,5276,-6.900000000000010
65.1,106,84.8,72,7.0,5276,-0.3336283185840760
65.1,106,84.8,72,18.0,5276,9.984955752212390
65.1,106,84.8,72,32.0,5276,23.117699115044200
78.6,135,110.5,74,0.0,6718,4.599999999999990
78.6,135,110.5,74,7.0,6718,12.962831858407100
78.6,135,110.5,74,18.0,6718,26.104424778761100
78.6,135,110.5,74,32.0,6718,42.83008849557520
76.7,132,107.7,74,0.0,6382,2.700000000000000
76.7,132,107.7,74,7.0,6382,10.876991150442500
76.7,132,107.7,74,18.0,6382,23.726548672566400
76.7,132,107.7,74,32.0,6382,40.08053097345130
74.1,128,104.2,73,0.0,5956,1.0999999999999900
74.1,128,104.2,73,7.0,5956,9.029203539823000
74.1,128,104.2,73,18.0,5956,21.48938053097350
74.1,128,104.2,73,32.0,5956,37.34778761061950
70.1,121,98.6,72,0.0,5276,-1.9000000000000100
70.1,121,98.6,72,7.0,5276,5.595575221238930
70.1,121,98.6,72,18.0,5276,17.37433628318580
70.1,121,98.6,72,32.0,5276,32.365486725663700
70.8,131,95.2,72,0.0,6650,-1.2000000000000000
70.8,131,95.2,72,7.0,6650,6.9150442477876100
70.8,131,95.2,72,18.0,6650,19.667256637168100
70.8,131,95.2,72,32.0,6650,35.89734513274340
66.9,122,89.5,72,0.0,5850,-5.099999999999990
66.9,122,89.5,72,7.0,5850,2.45752212389381
66.9,122,89.5,72,18.0,5850,14.333628318584100
66.9,122,89.5,72,32.0,5850,29.448672566371700
73.3,128,103.5,72,0.0,5850,1.3000000000000000
73.3,128,103.5,72,7.0,5850,9.229203539823000
73.3,128,103.5,72,18.0,5850,21.68938053097350
73.3,128,103.5,72,32.0,5850,37.547787610619500
69.9,129,93.7,69,0.0,6053,0.9000000000000060
69.9,129,93.7,69,7.0,6053,8.89115044247788
69.9,129,93.7,69,18.0,6053,21.448672566371700
69.9,129,93.7,69,32.0,6053,37.430973451327400
67.7,124,90.6,68,0.0,5596,-0.29999999999999700
67.7,124,90.6,68,7.0,5596,7.381415929203540
67.7,124,90.6,68,18.0,5596,19.452212389380500
67.7,124,90.6,68,32.0,5596,34.81504424778760
63.7,111,84.3,66,0.0,4689,-2.300000000000000
63.7,111,84.3,66,7.0,4689,4.576106194690270
63.7,111,84.3,66,18.0,4689,15.381415929203500
63.7,111,84.3,66,32.0,4689,29.133628318584100
73.1,135,105.0,71,0.0,5596,2.0999999999999900
73.1,135,105.0,71,7.0,5596,10.462831858407100
73.1,135,105.0,71,18.0,5596,23.604424778761100
73.1,135,105.0,71,32.0,5596,40.33008849557520
68.0,120,96.4,69,0.0,4689,-1.0
68.0,120,96.4,69,7.0,4689,6.43362831858407
68.0,120,96.4,69,18.0,4689,18.11504424778760
68.0,120,96.4,69,32.0,4689,32.98230088495580
72.3,129,96.2,70,0.0,6602,2.300000000000000
72.3,129,96.2,70,7.0,6602,10.291150442477900
72.3,129,96.2,70,18.0,6602,22.848672566371700
72.3,129,96.2,70,32.0,6602,38.830973451327400
71.3,127,94.8,70,0.0,6387,1.3000000000000000
71.3,127,94.8,70,7.0,6387,9.167256637168140
71.3,127,94.8,70,18.0,6387,21.530088495575200
71.3,127,94.8,70,32.0,6387,37.26460176991150
70.4,125,93.5,70,0.0,6191,0.4000000000000060
70.4,125,93.5,70,7.0,6191,8.143362831858410
70.4,125,93.5,70,18.0,6191,20.31150442477880
70.4,125,93.5,70,32.0,6191,35.798230088495600
68.7,121,91.2,70,0.0,5848,-1.3000000000000000
68.7,121,91.2,70,7.0,5848,6.19557522123894
68.7,121,91.2,70,18.0,5848,17.97433628318590
68.7,121,91.2,70,32.0,5848,32.96548672566370
67.7,119,89.7,70,0.0,5657,-2.300000000000000
67.7,119,89.7,70,7.0,5657,5.071681415929210
67.7,119,89.7,70,18.0,5657,16.655752212389400
67.7,119,89.7,70,32.0,5657,31.399115044247800
66.4,115,87.7,72,0.0,5419,-5.599999999999990
66.4,115,87.7,72,7.0,5419,1.52389380530974
66.4,115,87.7,72,18.0,5419,12.718584070796500
66.4,115,87.7,72,32.0,5419,26.966371681415900
65.7,113,86.7,70,0.0,5309,-4.300000000000000
65.7,113,86.7,70,7.0,5309,2.700000000000000
65.7,113,86.7,70,18.0,5309,13.700000000000000
65.7,113,86.7,70,32.0,5309,27.700000000000000
64.9,110,85.3,70,0.0,5041,-5.099999999999990
64.9,110,85.3,70,7.0,5041,1.7141592920354000
64.9,110,85.3,70,18.0,5041,12.42212389380530
64.9,110,85.3,70,32.0,5041,26.050442477876100
62.0,102,81.0,72,0.0,4354,-10.0
62.0,102,81.0,72,7.0,4354,-3.6814159292035400
62.0,102,81.0,72,18.0,4354,6.2477876106194700
62.0,102,81.0,72,32.0,4354,18.88495575221240
59.3,96,77.1,72,0.0,3765,-12.700000000000000
59.3,96,77.1,72,7.0,3765,-6.753097345132740
59.3,96,77.1,72,18.0,3765,2.592035398230080
59.3,96,77.1,72,32.0,3765,14.485840707964600
78.9,142,112.4,72,0.0,6602,6.900000000000010
78.9,142,112.4,72,7.0,6602,15.696460176991200
78.9,142,112.4,72,18.0,6602,29.519469026548700
78.9,142,112.4,72,32.0,6602,47.11238938053100
76.5,136,108.4,72,0.0,6191,4.5
76.5,136,108.4,72,7.0,6191,12.924778761061900
76.5,136,108.4,72,18.0,6191,26.1637168141593
76.5,136,108.4,72,32.0,6191,43.01327433628320
75.1,134,106.6,72,0.0,5922,3.0999999999999900
75.1,134,106.6,72,7.0,5922,11.400884955752200
75.1,134,106.6,72,18.0,5922,24.44513274336280
75.1,134,106.6,72,32.0,5922,41.04690265486730
